City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
87,Narsaq,60.9167,-46.05,23.0,63,75,5.75,GL,2021-01-18 01:15:38,broken clouds
88,Qui Nhon,13.7667,109.2333,69.49,79,16,22.88,VN,2021-01-18 01:12:29,light rain
89,Torbay,47.6666,-52.7314,37.99,100,90,10.36,CA,2021-01-18 01:15:39,light rain
90,Zhezkazgan,47.8043,67.7144,13.37,94,98,5.28,KZ,2021-01-18 01:15:39,overcast clouds
91,Likhovskoy,48.1519,40.1792,11.52,97,100,10.89,RU,2021-01-18 01:15:39,snow
92,Tazmalt,36.3868,4.3989,45.5,54,11,3.31,DZ,2021-01-18 01:15:39,few clouds
93,Barrow,71.2906,-156.7887,-4.0,77,90,12.66,US,2021-01-18 01:15:39,overcast clouds
94,Sosva,59.1766,61.8558,-9.65,88,0,5.57,RU,2021-01-18 01:15:39,clear sky
95,Huaidian,33.4333,115.0333,36.61,73,0,7.54,CN,2021-01-18 01:15:39,clear sky
96,Winkler,49.1817,-97.941,14.0,79,94,4.61,CA,2021-01-18 01:15:08,overcast clouds
97,Chuy,-33.6971,-53.4616,63.97,74,0,7.54,UY,2021-01-18 01:15:40,clear sky
98,Hilo,19.7297,-155.09,78.8,73,90,4.61,US,2021-01-18 01:15:40,moderate rain
99,Oranjemund,-28.55,16.4333,62.2,91,0,1.41,NA,2021-01-18 01:15:40,clear sky
100,Ushuaia,-54.8,-68.3,50.0,81,90,12.66,AR,2021-01-18 01:12:28,light intensity drizzle
101,Tessalit,20.1986,1.0114,62.24,27,0,16.11,ML,2021-01-18 01:15:40,clear sky
102,Kaohsiung,22.6163,120.3133,60.01,67,20,4.61,TW,2021-01-18 01:12:06,few clouds
103,Remanso,-9.6179,-42.0831,78.13,54,26,2.89,BR,2021-01-18 01:15:40,scattered clouds
104,Yelan,50.949,43.7378,-1.68,91,100,7.27,RU,2021-01-18 01:15:40,overcast clouds
105,Saint-Augustin,51.226,-58.6502,36.75,92,100,22.62,CA,2021-01-18 01:15:40,light rain
106,Mahebourg,-20.4081,57.7,78.8,83,40,11.5,MU,2021-01-18 01:15:41,scattered clouds
107,Ponta Do Sol,32.6667,-17.1,55.99,61,94,1.01,PT,2021-01-18 01:15:41,overcast clouds
108,Albany,42.6001,-73.9662,37.0,71,81,6.55,US,2021-01-18 01:12:00,broken clouds
109,Yurovka,45.1147,37.4188,24.8,80,100,13.42,RU,2021-01-18 01:15:41,overcast clouds
110,San Quintin,30.4833,-115.95,66.51,42,0,3.51,MX,2021-01-18 01:15:41,clear sky
111,Booue,-0.0921,11.9385,72.64,92,97,1.83,GA,2021-01-18 01:15:41,overcast clouds
112,Lompoc,34.6391,-120.4579,69.8,32,0,8.05,US,2021-01-18 01:15:41,clear sky
113,De-Kastri,51.4667,140.7833,-7.49,85,100,3.71,RU,2021-01-18 01:15:41,overcast clouds
114,Pevek,69.7008,170.3133,-29.54,85,10,4.0,RU,2021-01-18 01:15:42,clear sky
115,Coihaique,-45.5752,-72.0662,57.2,72,75,2.3,CL,2021-01-18 01:15:42,broken clouds
116,Cidreira,-30.1811,-50.2056,73.11,93,100,13.56,BR,2021-01-18 01:15:42,overcast clouds
117,Madimba,-10.4,40.3333,80.6,89,40,13.8,TZ,2021-01-18 01:15:42,scattered clouds
118,Fare,-16.7,-151.0167,82.09,73,0,12.68,PF,2021-01-18 01:15:42,clear sky
119,Borkenes,68.774,16.1739,27.0,92,100,1.14,NO,2021-01-18 01:15:42,overcast clouds
120,Tuatapere,-46.1333,167.6833,60.01,57,100,5.99,NZ,2021-01-18 01:15:42,light rain
121,San Matias,-16.3667,-58.4,75.18,92,100,8.19,BO,2021-01-18 01:15:43,moderate rain
122,Udachnyy,66.4167,112.4,-36.33,81,100,1.52,RU,2021-01-18 01:15:43,overcast clouds
123,Kyren,51.6828,102.1408,10.6,86,80,0.96,RU,2021-01-18 01:15:43,broken clouds
124,Robertsport,6.7533,-11.3686,79.52,83,0,8.55,LR,2021-01-18 01:15:43,clear sky
125,Hobart,-42.8794,147.3294,66.2,48,75,26.46,AU,2021-01-18 01:11:09,broken clouds
126,Atuona,-9.8,-139.0333,78.67,78,83,14.45,PF,2021-01-18 01:15:43,broken clouds
127,Ransang,8.9603,117.5828,78.46,84,100,7.43,PH,2021-01-18 01:15:43,heavy intensity rain
128,San Cristobal,7.7669,-72.225,65.73,87,9,1.74,VE,2021-01-18 01:15:43,clear sky
129,Pacifica,37.6138,-122.4869,64.0,63,1,13.8,US,2021-01-18 01:15:43,haze
130,Port Elizabeth,-33.918,25.5701,66.2,82,75,2.3,ZA,2021-01-18 01:12:24,broken clouds
131,Turkan,40.3639,50.215,44.6,87,0,9.22,AZ,2021-01-18 01:15:43,clear sky
132,Biak,-0.9131,122.8766,78.76,80,100,0.85,ID,2021-01-18 01:15:44,overcast clouds
133,Rawah,34.4816,41.9093,53.04,60,80,10.11,IQ,2021-01-18 01:15:44,broken clouds
134,Zwolle,52.5126,6.0936,39.0,97,0,1.01,NL,2021-01-18 01:15:44,clear sky
135,Bathsheba,13.2167,-59.5167,78.8,78,75,19.57,BB,2021-01-18 01:15:44,broken clouds
136,Natalio,-26.7167,-55.0833,73.54,63,100,5.03,PY,2021-01-18 01:15:44,overcast clouds
137,Sao Filipe,14.8961,-24.4956,72.57,71,0,7.63,CV,2021-01-18 01:15:44,clear sky
138,Bambanglipuro,-7.95,110.2833,81.19,71,93,3.02,ID,2021-01-18 01:15:44,overcast clouds
139,Port Alfred,-33.5906,26.891,64.99,89,94,6.17,ZA,2021-01-18 01:15:44,overcast clouds
140,Namibe,-15.1961,12.1522,72.25,76,98,8.86,AO,2021-01-18 01:15:45,overcast clouds
141,Kalianget,-7.05,113.9333,79.12,82,100,10.94,ID,2021-01-18 01:15:45,light rain
142,Charters Towers,-20.1,146.2667,81.1,70,97,19.77,AU,2021-01-18 01:15:45,overcast clouds
143,Vila Velha,-20.3297,-40.2925,77.0,83,40,5.75,BR,2021-01-18 01:15:45,scattered clouds
144,Nanortalik,60.1432,-45.2371,27.28,92,100,5.57,GL,2021-01-18 01:15:45,overcast clouds
145,Khatanga,71.9667,102.5,-25.62,81,0,13.62,RU,2021-01-18 01:11:35,clear sky
146,Kaitangata,-46.2817,169.8464,62.01,41,100,5.99,NZ,2021-01-18 01:15:45,overcast clouds
147,Vaitape,-16.5167,-151.75,82.09,74,0,12.33,PF,2021-01-18 01:15:45,clear sky
148,Pauini,-7.7136,-66.9764,75.36,95,98,1.68,BR,2021-01-18 01:15:45,overcast clouds
149,Saldanha,-33.0117,17.9442,64.4,77,0,4.61,ZA,2021-01-18 01:15:46,clear sky
