City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Beya,RU,2021-01-15 03:11:43,53.0533,90.9139,-1.48,84,71,9.04
128,Vila Do Maio,CV,2021-01-15 03:11:44,15.1333,-23.2167,71.6,68,75,20.71
129,Ouegoa,NC,2021-01-15 03:11:44,-20.35,164.4333,79.9,86,100,13.29
130,Along,IN,2021-01-15 03:11:44,28.1667,94.7667,62.73,52,0,0.51
131,Junnar,IN,2021-01-15 03:11:44,19.2,73.8833,71.47,50,0,4.09
132,Kitimat,CA,2021-01-15 03:11:44,54.0524,-128.6534,33.01,97,100,2.26
133,Lompoc,US,2021-01-15 03:11:12,34.6391,-120.4579,55.0,82,1,3.44
134,Husavik,IS,2021-01-15 03:11:44,66.0449,-17.3389,37.4,70,0,10.36
135,Baculin,PH,2021-01-15 03:11:44,7.4525,126.5842,84.2,68,72,5.5
136,Kannangad,IN,2021-01-15 03:11:45,12.3081,75.1063,78.94,72,64,3.78
137,Stepnyak,KZ,2021-01-15 03:11:45,52.8339,70.7803,-9.89,80,51,9.13
138,Barcelos,PT,2021-01-15 03:11:45,41.5388,-8.6151,43.0,100,0,9.22
139,Road Town,VG,2021-01-15 03:08:33,18.4167,-64.6167,75.99,90,100,1.01
140,Yang Talat,TH,2021-01-15 03:11:45,16.3998,103.3679,73.99,95,0,5.35
141,Tilichiki,RU,2021-01-15 03:11:45,60.4667,166.1,-22.77,86,0,8.39
142,Marawi,PH,2021-01-15 03:11:45,7.9986,124.2928,82.99,82,13,5.01
143,Half Moon Bay,US,2021-01-15 03:10:15,37.4636,-122.4286,59.0,100,90,11.5
144,Tamandare,BR,2021-01-15 03:11:45,-8.7597,-35.1047,77.16,83,6,8.01
145,Marin,US,2021-01-15 03:08:06,38.0666,-122.7344,55.0,100,1,6.91
146,Dapaong,TG,2021-01-15 03:11:45,10.8639,0.205,67.62,22,0,7.05
147,Hovd,MN,2021-01-15 03:11:46,48.0056,91.6419,-2.15,72,0,5.53
148,Cabedelo,BR,2021-01-15 03:11:46,-6.9811,-34.8339,78.8,83,20,5.75
149,Arica,CL,2021-01-15 03:09:33,-18.475,-70.3042,68.0,77,90,3.44
150,Jagadhri,IN,2021-01-15 03:11:46,30.1667,77.3,53.06,60,77,0.27
151,Barranca,PE,2021-01-15 03:11:46,-10.75,-77.7667,69.4,87,100,4.34
152,Mawlaik,MM,2021-01-15 03:11:46,23.6333,94.4167,71.17,50,75,2.26
153,Rio Tinto,PT,2021-01-15 03:10:23,41.1826,-8.5581,43.0,100,0,9.22
154,Murgab,TM,2021-01-15 03:11:46,37.4966,61.9714,41.0,70,0,11.5
155,Alofi,NU,2021-01-15 03:11:46,-19.0595,-169.9187,86.0,70,40,12.66
156,Hermanus,ZA,2021-01-15 03:11:47,-34.4187,19.2345,62.01,93,0,14.41
157,Asau,RO,2021-01-15 03:11:47,46.4333,26.4,25.0,93,90,2.3
158,Shubarkuduk,KZ,2021-01-15 03:11:47,49.1447,56.4872,19.08,92,100,20.13
159,Aklavik,CA,2021-01-15 03:11:47,68.2191,-135.0107,-2.2,78,90,5.75
160,Kholodnyy,RU,2021-01-15 03:11:48,62.7167,147.95,-23.39,83,99,1.25
161,Bengkulu,ID,2021-01-15 03:11:48,-3.8004,102.2655,84.34,61,100,0.74
162,Merced,US,2021-01-15 03:11:48,37.1666,-120.7516,55.99,88,0,4.63
163,Ocala,US,2021-01-15 03:08:14,29.1872,-82.1401,45.0,81,1,5.88
164,Constantine,DZ,2021-01-15 03:11:48,36.365,6.6147,33.8,93,20,2.3
165,Bambous Virieux,MU,2021-01-15 03:09:44,-20.3428,57.7575,82.0,78,20,3.0
166,Vavozh,RU,2021-01-15 03:11:49,56.7751,51.931,8.4,95,98,5.06
167,Jamestown,US,2021-01-15 03:11:49,42.097,-79.2353,33.8,86,1,5.75
168,Kruisfontein,ZA,2021-01-15 03:09:50,-34.0033,24.7314,72.0,91,30,1.01
169,Iqaluit,CA,2021-01-15 03:11:49,63.7506,-68.5145,-16.6,69,20,4.61
170,Cuiluan,CN,2021-01-15 03:11:49,47.72,128.648,-2.67,85,100,2.98
171,Nizhniy Ingash,RU,2021-01-15 03:11:49,56.2,96.53,-0.33,91,100,17.4
172,Iquitos,PE,2021-01-15 03:11:49,-3.7481,-73.2472,75.2,94,75,2.3
173,Bubaque,GW,2021-01-15 03:11:49,11.2833,-15.8333,77.97,66,14,7.7
174,Zhenlai,CN,2021-01-15 03:07:02,45.8495,123.2973,3.96,81,29,10.78
175,San Patricio,US,2021-01-15 03:11:50,28.017,-97.5169,60.8,48,1,9.22
176,Roma,US,2021-01-15 03:08:56,43.2128,-75.4557,33.8,80,90,2.21
177,San Quintin,MX,2021-01-15 03:11:50,30.4833,-115.95,63.95,41,0,5.57
178,Ahipara,NZ,2021-01-15 03:11:50,-35.1667,173.1667,72.14,59,0,8.99
179,Kuryk,KZ,2021-01-15 03:11:50,43.2,51.65,43.48,92,99,5.84
180,Sobolevo,RU,2021-01-15 03:11:50,54.4299,31.8996,-4.32,91,100,4.76
181,Wanning,CN,2021-01-15 03:07:06,18.8003,110.3967,70.38,65,0,4.03
182,Sinnamary,GF,2021-01-15 03:11:50,5.3833,-52.95,76.75,88,99,9.95
183,Makakilo City,US,2021-01-15 03:11:50,21.3469,-158.0858,80.6,65,1,5.75
184,Platon Sanchez,MX,2021-01-15 03:11:50,21.2833,-98.3667,64.62,88,100,1.63
185,Lebu,CL,2021-01-15 03:11:50,-37.6167,-73.65,54.28,81,0,3.15
186,May Pen,JM,2021-01-15 03:09:15,17.9645,-77.2451,82.4,61,40,8.05
187,Gbarnga,LR,2021-01-15 03:11:51,6.9956,-9.4722,69.87,98,30,0.49
188,Zhigalovo,RU,2021-01-15 03:11:51,54.8097,105.1578,4.5,89,100,12.28
189,Souillac,MU,2021-01-15 03:11:51,-20.5167,57.5167,78.8,94,75,3.44
190,Djibo,BF,2021-01-15 03:11:51,14.1022,-1.6306,66.09,23,0,6.31
191,Salalah,OM,2021-01-15 03:10:11,17.0151,54.0924,75.2,12,0,6.91
192,Sitka,US,2021-01-15 03:11:51,57.0531,-135.33,46.4,61,90,31.07
193,Te Anau,NZ,2021-01-15 03:11:51,-45.4167,167.7167,76.53,34,0,4.38
194,Mahebourg,MU,2021-01-15 03:09:49,-20.4081,57.7,82.0,78,19,3.0
